Sat Jul 02 22:23:30 2022,7.3 24:00 ddl的商法论文 here we go
Fri Jul 01 22:11:24 2022,好喜欢唐诗逸……谁懂
Fri Jul 01 01:12:10 2022,看完《爱在黎明破晓前》。爱的浪漫不如自由的浪漫给我的冲击强烈强烈到我对自己的“自由”概念感到疑惑因为我怀疑我会不会花钱看手相会不会花钱向落魄的诗人买诗敢不敢向酒吧老板要一瓶免费的红酒会不会和一个陌生的女孩子下车或者会不会邀请一个陌生的女孩子陪自己下车。怀疑本身就是一种 ...
Tue Jun 28 07:51:08 2022, 看个片能检测储户资金转走了咋查不到
Thu Jun 23 21:19:50 2022,…
Thu Jun 23 12:01:45 2022, 搞笑组合拳一套接一套病毒都笑趴下了。 多么科学严谨啊
Thu Jun 23 10:32:51 2022,你说法治我都觉得好笑.jpg 看来这起事件比河南红码事件要严重得多所以当事者被依法追究刑事责任真可谓严格执法的典范。两相对比突然搞不懂该怎么适用刑法怎么评价行为的危害性程度了。不是我不明白这世界变化快吧。
Thu Jun 23 00:32:38 2022,哈哈哈哈哈哈哈哈哈哈哈哈哈哈好 呼呼呼哈哈哈 三胎有补贴
Mon Jun 20 23:39:28 2022,日尼玛民诉要背死去……
Mon Jun 20 22:39:35 2022,1
Sun Jun 19 11:15:09 2022, 有当百姓的自觉缺乏成为现代公民的清醒。
Sat Jun 18 14:55:56 2022,公权力一步步侵蚀着公民私权利……本来还说网络舆论是有力量的人民有自己的话语权力参与到社会事件中现在看似唯一有力量的对抗方式也被限制了游行要登记发声要审核人民所具有的群体性力量在审核把人民拆分成个体之后被消解得干干净净……
Fri Jun 17 17:50:56 2022, 人家扫舆论比扫黑还快这手段够损
Thu Jun 16 00:44:08 2022,想一直躲在可耻的荒诞背后…
Tue Mar 01 18:41:58 2022,好的我试试
Mon Feb 21 14:33:32 2022,really 青天大老爷是这样的
Sat Feb 19 19:07:52 2022,“直面真实的世界”半小时就没了…
Sat Feb 19 01:20:38 2022,重庆森林里的王菲像一头小鹿在我的心上跳舞。恣意地热烈地释放自己的灵气蓬勃旺盛的生命力实在有感染力
Sat Feb 12 20:26:10 2022,感恩欣姐做的图我好喜欢
Sat Apr 02 00:34:37 2022,什么时候轮到我
Fri Apr 01 12:29:24 2022,再抽再抽
Thu Mar 31 10:08:24 2022,   那些因为封控为家人求医无门闹跳楼的、威胁捅人的、准备开车撞出去的家人都获救了按流程走的、耐心等的看着近在咫尺救护人员袖手旁观也只是哀求的温良老百姓他们的女儿和爸爸都过世了。
Tue Mar 29 01:16:17 2022,《与恶》真的好看
Sat Oct 16 02:55:18 2021,大半夜看了2020年10月份以来到放寒假前的所有照片我真的爱死20年的冬天了。之前看到“人的一生只会经历一个夏天其余的都是在和它比较”大概冬天也是相似20年的冬天让我觉得以后的每一个干冷颓丧的北京冬天都是浪漫自由可以依赖可以期待的仅偶尔的回味就能让冗忙繁乱却懒散堕落浑噩麻木的我感 ...
Tue Oct 12 11:32:28 2021,一些早就想看的书和从没中过奖的人……
Fri Oct 08 02:01:39 2021,单曲 爱与诚 (
Mon Oct 04 00:18:11 2021,打球火锅打球唱歌烧烤的一天
Tue Sep 28 22:49:23 2021,我应该时常读读这样的文章如何有意义地度过大学生活
Fri Sep 24 23:22:40 2021,来一年了才吃上杜家小厨的乡下人p2是真真切切的一拿到条子就在脑子里蹦出来的愿望
Tue Sep 21 01:11:46 2021,祝愿所有我身边的人我在意的人一切顺利安好
Thu Sep 16 18:42:41 2021,This is why we play
Mon Jun 07 01:03:25 2021,今天毕业歌会送了球队大四也回忆起高三的金外“朝与同歌暮同酒”真好
Thu Jun 03 10:03:40 2021, 一晴方觉夏深🌿
Mon May 31 00:14:48 2021,真好今天真好。
Fri May 28 01:48:13 2021,行将逝去的生
Thu May 06 08:47:07 2021,人的一生只会经历一个夏天其余的都是在和它在比较。
Tue May 04 10:33:50 2021,人一天真能逛这么多地方吗
Fri Mar 11 10:37:05 2022, 【系统轮播】
