Fri Jul 01 19:46:15 2022,就我没放假了
Fri Jun 24 10:05:05 2022,cpu要炸了🥵🥵🥵
Sun Jun 12 22:11:27 2022,没人能念的出来😡
Fri Jun 10 21:49:17 2022,这个好像更哈人
Sat Jun 04 11:07:31 2022,昨天找以前室友聚了一下自从去年9月以来就没见过感觉还是物是人非的原来的寝室被拆了因为我们班成绩不太行需要他们带动下不过尽管如此当我到原来寝室楼找他们的时候还是马上就打算一起出来吃饭了有时候一直在想要是当初留在电气会怎么样了毕竟原来的室友是真的关系好。虽然关系依旧但 ...
Mon May 30 09:49:44 2022,完成每日一鸠任务（11）
Fri May 27 11:31:44 2022,终于用0.1倍速借鉴完老师演示里的代码了千行汇编不是人写的 SemperVictus的
Fri Feb 18 09:39:13 2022,打完第三针好晕不知道为什么
Sun Feb 06 00:03:15 2022,艹茶喝太多睡不着了
Thu Feb 03 15:29:12 2022,我彻底失败
Fri Jan 28 17:14:28 2022,回溯递归部分两天就差不多写完了大概三十道感觉还是顺的比起之前效率还是高点这十天差不多做了一百道不过听说明天下雪太冷还是摆烂得了天气暖点再刷吧
Thu Jan 27 06:40:07 2022,本以为已经放下结果又梦见了唉
Tue Jan 25 08:11:17 2022,六天才完成了一个array部分60题左右还没整理真的好菜啊希望接下去效率能高点吧
Thu Jan 20 21:20:02 2022,今天只刷十道真的废物我怎么这么失败这么垃圾啊
Sun Jan 16 21:46:36 2022,立个flag明天开始除了每日一题外学习😭
Fri Jan 14 15:23:44 2022,回家第五天还是没心思学每天所做的只有背单词和力扣每日一题代码复健特别有必要也不知道休息一个星期后能不能稍微找点感觉毕竟寒假的目标是一个运用springboot和cyc发的那篇论文的方法写出一个上传分析地图面积的网站任重而道远
Fri Dec 31 23:48:02 2021,关山难越谁悲失路之人萍水相逢尽是他乡之客。
Sat Dec 25 22:13:01 2021,吾欲与若复牵黄犬俱出上蔡东门逐狡兔岂可得乎
Fri Dec 17 23:19:28 2021,我感觉我就是只会浪费家里钱的无用的废物什么都不会转专业后这一年就没学什么东西废物一自己一年的规划什么都没做到有时候想我就不该转我就应该老老实实在电气混到毕业然后进厂当工酱天天爬电杆用宏达叙事迷惑自己而不是可笑地转码结果学不了多少估计最后实习找不到考公考不上考 ...
Thu Dec 09 21:10:12 2021,由于被考试打断学习导致javaweb已经跟不上自己之前学的了就先草草过一下Flitercookiesession就当自己学完了（自欺欺人罢了）今天就先学spring5的框架了越学越感觉自己菜的要死看实习僧和boss直聘上对实习生的要求一个都达不到毕竟我是一个连框架都没有学完的人更不用说微服务了 ...
Fri Dec 03 23:15:18 2021,给自己十一月做个总结那就是颓废十一月初学javaweb学的磕磕跘跘由于跳过jsp导致学的很卡然后用重构大项目还是失败了 最后只能github上抄了一个界面之后就是三星期三场考试由于平时都在低效率的自学java导致这三个星期都用来复习一点新知识也没学然后考试自然是炸的手写代码也是瞎 ...
Thu Nov 25 23:14:31 2021,上星期有考试这星期有考试下星期还是有考试整个人就浑浑噩噩头发也被学校的sb理发师瞎剪两个星期还是没长回来然后已经有两个星期都没有学新东西了晚上都要应付那些无聊的上机现在我又变成高中那个社恐无趣无聊令人作呕的贵物了😅
Mon Nov 22 23:06:17 2021,终于写好好了java大作业虽然高耦合虽然不好维护虽然写的乱七八糟虽然只有两千多行越想越觉得自己菜的要死
Mon Nov 15 23:12:57 2021,一个晚上什么都没写就写了个登录注册最后得出来我应该学jsp但我那时就草草略过一遍 因为这东西好像已经过时了结果大作业可视化到上要用到主要还偷懒不想重新写（虽然用mvc框架可能更快）结果就这样了我真的就一个又懒又蠢的烂人什么都不会的废物
Sun Nov 07 07:56:20 2021,被吵醒了两次有些人不理解睡觉对人的重要程度我也无法理解为什么要这么狂热你们的快乐不是建立在让别人痛苦的基础上之前我觉得广电是sb现在我希望加速
Tue Nov 02 23:04:52 2021,给自己两个月做个总结只学了java基础加java8特性以及一点皮毛数据库和计网以及稍微把常用数据结构和相关算法草草过了一遍（现在只能想起不到70的思路）只做了java坦克大战模拟网络聊天以及员工管理系统这几个代码量不足的小项目leetcode断断续续的没有坚持刷感觉自己的效率真的不高而 ...
Sun Oct 31 22:40:09 2021,为什么我这么无聊啊感觉一天除了写代码就是玩游戏没有一点爱好
Sat Oct 30 08:14:45 2021,突然就半个学期过去了感觉这两个月每天都在空闲时间自学感觉没学到多少东西自己学的太慢了真的好累了虽然已经找了一条学习路线但那种你知道要学什么也知道怎么学但就是学不完学的慢昨天觉得从三点学到八点就差不多能学完自己定的一天代码量可最后到九点半还是差点真的好累啊 ...
Tue Oct 19 13:26:23 2021,还是无法接受
Sun Oct 17 14:07:30 2021,很后悔来到离家这么远的地方读大学以至于无法回去
Fri Sep 17 08:08:00 2021,怎么天天做噩梦啊
Tue Sep 14 08:16:54 2021,连续一周噩梦......
Sun Jul 11 23:14:13 2021,重新换回钢夹烫
Fri Apr 29 16:29:05 2022,信知生男恶 反是生女好。 生女犹得出花园 生男埋没随百草。 君不见 妇女报 警惕舆论损形象。 新鬼烦冤旧鬼哭 天阴雨湿声啾啾。
Fri Apr 15 09:03:14 2022,回望儿时若只见悲恐是何其不幸。回首往昔若只余孤寂又是何其凄凉。
Tue Mar 22 21:10:38 2022,有时候真的感觉不如在浙师大读读得了
Tue Mar 22 07:58:21 2022,硕鼠硕鼠
Fri Mar 11 21:00:21 2022,晚上在操场跑步莫名一种孤独想起来独来独往快两年了这种孤独还真是一点没变
Mon Mar 07 21:39:20 2022,突然发现高中和大学寝室都只有我没脱单了
Sat Jun 19 23:56:45 2021,上两个星期吃的 武汉·华中科技大学
Sat Jun 19 23:03:43 2021,这个星期吃的（好久没发了） 武汉·华中科技大学
Fri Jun 18 22:14:18 2021,有时候想一巴掌扇死填志愿的自己选你🐴的工科你高中不是个文科生吗选其他不好吗
Sat Jun 12 22:42:45 2021,反正我就是众人之中不和谐的存在在哪都被别人厌恶同学也厌恶朋友（姑且算是吧）也厌恶反正我就是个fw呗最好结局就是去重开吧这样还少给别人添麻烦了
Sat Jun 05 22:48:33 2021,总是非常期待美好的东西被解构出它的真面目
Fri Jun 04 00:10:32 2021,真tm讨厌自己的一切好想Remake好想重开
Thu Jun 03 14:39:00 2021,感觉越在这个伞兵学校待越想Remake😅
Thu Jun 03 14:14:24 2021,无效的社交好多😅全删了全删了
Sun May 23 08:08:32 2021,这次去了江汉路一家日式烤肉叫宫崎家这次算是去探了新店总的来说不算踩雷可以一试骰子牛肉粒吃上去挺嫩的横隔膜也还算可以最赞的烤鳗鱼卷上海苔和某个不知名叶子又香又嫩不过其他就一般了鸡腿肉有点咸辣汤一般手抓饭稍微可以总的来说如果有券的可以一试 武汉·华中科技大学
Sun May 02 08:07:00 2021,忘发了 前天去了仓桥家店里的环境挺不错的而且寿司还是好吃的尤其是鳗鱼卷和叉烧地狱拉面感觉一般可能我吃不来辣这个豆腐感觉一般那个小菜蛤挺嫩的要是不辣点就好了总的来说还行吧可以一去 金华·永康
Sat Apr 17 19:35:55 2021,今天探了学校附近光谷步行街的亮亮烧烤由于老孤寡了所以只能一个人吃双人餐然而高估了自己没吃完套餐量还是挺大的两个人绝对吃得饱我一个人就吃撑了这里羊肉串和小黄鱼特别好吃然而那个凉拌毛豆也很不错特别爽口然后饮料橙子冰摇茶也很赞其他就一般吧毕竟我也吃不太来辣 ...
Fri Apr 16 18:23:02 2021,寝室旁东篱还不错起码肉比较多环境也比较好又怀念西边的小吃城了
